lineid,date,time,level,component,logline,eventid,eventtemplate,timestamp
1,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,E23,Loaded Servicing Stack <*> with Core: <*>\cbscore.dll,2025-05-19T07:20:41.935554
2,2016-09-28,04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),E13,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),2025-05-19T07:20:41.935554
3,2016-09-28,04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),E13,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),2025-05-19T07:20:41.935554
4,2016-09-28,04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),E13,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),2025-05-19T07:20:41.935554
5,2016-09-28,04:30:31,Info,CBS,Ending TrustedInstaller initialization.,E17,Ending TrustedInstaller initialization.,2025-05-19T07:20:41.935554
6,2016-09-28,04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,E44,Starting the TrustedInstaller main loop.,2025-05-19T07:20:41.935554
7,2016-09-28,04:30:31,Info,CBS,TrustedInstaller service starts successfully.,E48,TrustedInstaller service starts successfully.,2025-05-19T07:20:41.935554
8,2016-09-28,04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,E40,SQM: Initializing online with Windows opt-in: False,2025-05-19T07:20:41.935554
9,2016-09-28,04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,E37,SQM: Cleaning up report files older than <*> days.,2025-05-19T07:20:41.935554
10,2016-09-28,04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,E42,SQM: Requesting upload of all unsent reports.,2025-05-19T07:20:41.935554
