logline,_id,is_anomaly,timestamp,group_id
Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,0,False,2025-05-18T20:24:04.212203,0
00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),1,False,2025-05-18T20:24:04.212203,1
00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),2,False,2025-05-18T20:24:04.212203,2
00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),3,False,2025-05-18T20:24:04.212203,3
Ending TrustedInstaller initialization.,4,False,2025-05-18T20:24:04.212203,4
Starting the TrustedInstaller main loop.,5,False,2025-05-18T20:24:04.212203,5
TrustedInstaller service starts successfully.,6,False,2025-05-18T20:24:04.212203,6
SQM: Initializing online with Windows opt-in: False,7,False,2025-05-18T20:24:04.212203,7
SQM: Cleaning up report files older than 10 days.,8,False,2025-05-18T20:24:04.212203,8
SQM: Requesting upload of all unsent reports.,9,False,2025-05-18T20:24:04.212203,9
"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",10,False,2025-05-18T20:24:04.212203,10
SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],11,False,2025-05-18T20:24:04.212203,11
"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",12,False,2025-05-18T20:24:04.212203,12
SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],13,False,2025-05-18T20:24:04.212203,13
"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",14,False,2025-05-18T20:24:04.212203,14
NonStart: Checking to ensure startup processing was not required.,15,False,2025-05-18T20:24:04.212203,15
"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",16,False,2025-05-18T20:24:04.212203,16
"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",17,False,2025-05-18T20:24:04.212203,17
"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",18,False,2025-05-18T20:24:04.212203,18
00000007@2016/9/27:20:30:31.462 CSI perf trace:,19,False,2025-05-18T20:24:04.212203,19
"NonStart: Success, startup processing not required as expected.",20,False,2025-05-18T20:24:04.212203,20
Startup processing thread terminated normally,21,False,2025-05-18T20:24:04.212203,21
00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,22,False,2025-05-18T20:24:04.212203,22
Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,23,True,2025-05-18T20:24:04.212203,23
Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,24,True,2025-05-18T20:24:04.212203,24
Warning: Unrecognized packageExtended attribute.,25,False,2025-05-18T20:24:04.212203,25
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],26,False,2025-05-18T20:24:04.212203,26
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],27,True,2025-05-18T20:24:04.212203,27
Warning: Unrecognized packageExtended attribute.,28,False,2025-05-18T20:24:04.212203,28
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],29,False,2025-05-18T20:24:04.212203,29
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],30,True,2025-05-18T20:24:04.212203,30
Warning: Unrecognized packageExtended attribute.,31,False,2025-05-18T20:24:04.212203,31
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],32,False,2025-05-18T20:24:04.212203,32
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],33,True,2025-05-18T20:24:04.212203,33
Warning: Unrecognized packageExtended attribute.,34,False,2025-05-18T20:24:04.212203,34
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],35,False,2025-05-18T20:24:04.212203,35
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],36,True,2025-05-18T20:24:04.212203,36
Warning: Unrecognized packageExtended attribute.,37,False,2025-05-18T20:24:04.212203,37
Warning: Unrecognized packageExtended attribute.,38,False,2025-05-18T20:24:04.212203,38
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],39,False,2025-05-18T20:24:04.212203,39
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],40,True,2025-05-18T20:24:04.212203,40
Warning: Unrecognized packageExtended attribute.,41,False,2025-05-18T20:24:04.212203,41
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],42,False,2025-05-18T20:24:04.212203,42
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],43,True,2025-05-18T20:24:04.212203,43
