logline,is_anomaly,_id,timestamp,group_id,processing_time_seconds,analysis_date,file_processed
Created MRAppMaster for application appattempt_1445144423722_0020_000001,0.0,0,2015-10-18 18:01:47.978,0,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
Executing with tokens:,0.0,1,2015-10-18 18:01:48.963,1,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",0.0,2,2015-10-18 18:01:48.963,2,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
Using mapred newApiCommitter.,0.0,3,2015-10-18 18:01:49.228,3,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
OutputCommitter set in config null,1.0,4,2015-10-18 18:01:50.353,4,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,0.0,5,2015-10-18 18:01:50.509,5,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,0.0,6,2015-10-18 18:01:50.556,6,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,0.0,7,2015-10-18 18:01:50.556,7,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,0.0,8,2015-10-18 18:01:50.556,8,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,0.0,9,2015-10-18 18:01:50.556,9,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,0.0,10,2015-10-18 18:01:50.572,10,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,0.0,11,2015-10-18 18:01:50.572,11,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,0.0,12,2015-10-18 18:01:50.572,12,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,0.0,13,2015-10-18 18:01:50.588,13,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
Default file system [hdfs://msra-sa-41:9000],1.0,14,2015-10-18 18:01:50.634,14,0.48709821701049805,2025-07-08T11:46:25.601502,Hadoop_2k.log_structured_small.csv
